3725	17268
3731	31074
3752	30682
3753	28437
3771	8019
3782	15870
3783	22134
3792	9869
3803	30915
3810	15906
3813	17659
3824	17411
3829	18527
3842	31992
3844	7659
3847	24890
3860	4252
3871	24733
3873	22330
3880	26150
3884	12211
3891	14850
3900	20410
3901	5476
3907	17080
3912	19004
3923	31707
3932	31299
3941	16686
3953	1396
3958	29065
3961	3734
3982	16172
3992	28747
4005	16651
4009	19162
4015	5419
4018	14850
4053	14868
4086	2161
4091	3441
4102	24197
4114	8269
4128	10655
4129	1954
4178	4734
4185	10667
4189	4483
4190	4547
4191	28734
4192	20192
4222	28048
4226	20530
4226	20531
4232	4589
4248	13077
4271	25337
4272	5228
4288	18364
4293	20855
4298	24882
4299	24882
4303	29590
4307	2059
4318	24563
4319	11932
4335	20787
4345	13584
4349	28306
4352	31682
4354	16092
4356	12160
4358	3183
4362	31282
4363	25813
4367	13214
4371	10145
4410	22300
4413	18005
4415	21300
4437	18058
4448	28493
4457	5727
4468	1812
4484	28739
4487	28245
4494	6679
4499	18218
4508	18965
4517	4483
4527	11721
4536	24691
4538	23266
4539	24354
4557	24118
4571	6489
4577	30662
4580	10770
4609	1283
4610	17244
4633	28746
4645	9532
4646	714
4647	24309
4655	4779
4660	26422
4673	19720
4678	31327
4690	13747
4707	28344
4714	6679
4722	27337
4726	7977
4727	13290
4743	6176
4762	12014
4774	28253
4779	14567
4780	3880
4806	7823
4807	5630
4811	20443
4821	14853
4836	260
4839	24197
4844	1447
4854	4430
4861	12870
4862	21174
4863	30348
4864	17709
4888	17654
4889	17323
4904	11995
4907	21395
4908	22438
4913	9126
4922	2029
4934	19344
4940	1948
4956	1422
4966	29811
4968	18359
4976	14326
4978	26774
4982	20598
4989	28493
4992	278
5006	22585
5008	29891
5009	28582
5020	6548
5030	17068
5035	2414
5042	14900
5055	1372
5059	28188
5071	9647
5091	4788
5093	13138
5095	22198
5100	21480
5106	26484
5111	12864
5112	2301
5118	28240
5122	28353
5128	31988
5138	4779
5140	8538
5149	5727
5157	28946
5171	14326
5177	13290
5184	24047
5193	1354
5195	10784
5201	18109
5202	9312
5204	23741
5206	23656
5207	19767
5210	25817
5212	10154
5218	14717
5235	4497
5241	3283
5250	2955
5258	6214
5267	4576
5276	14326
5278	25376
5296	16166
5296	16167
5306	2721
5315	10248
5319	27321
5324	29210
5328	14326
5332	15723
5336	19341
5341	11424
5343	29844
5348	10154
5372	14969
5374	5484
5376	20801
5377	21144
5384	13143
5388	5727
5391	11453
5392	26440
5400	24171
5421	13685
5427	10538
5436	14869
5473	299
5478	23397
5493	19630
5498	5691
5506	32036
5515	22735
5524	6501
5526	7778
5531	20879
5536	5129
5539	18579
5541	2465
5544	22427
5547	11498
5568	16849
5612	13538
5618	17209
5636	17906
5640	19271
5642	22092
5648	17082
5650	10441
5668	21182
5668	21184
5677	31853
5686	13596
5690	16322
5695	1430
5711	27077
5712	13344
5731	9609
5738	27807
5750	14102
5751	31713
5752	5408
5760	21310
5771	5034
5778	33124
5789	21951
5789	21952
5796	13940
5798	714
5801	9891
5807	30653
5810	30706
5814	32467
5821	1846
5831	7977
5836	28035
5847	20444
5850	22475
5863	9671
5867	22282
5879	5760
5880	26778
5882	19312
5901	29343
5903	25576
5905	30276
5906	17895
5918	4589
5922	28249
5938	6622
5953	22587
5968	9316
5971	22517
5987	22902
5989	30671
5990	7977
5994	31327
5995	25151
6005	31668
6006	15842
6008	9048
6023	18285
6031	20271
6040	28565
6041	27268
6054	17727
6067	31426
6070	25676
6080	21452
6091	12824
6115	30119
6127	18383
6150	29351
6151	15870
6152	19448
6160	19381
6168	25860
6179	5628
6180	6479
6183	32257
6191	13584
6198	9887
6200	23373
6200	23372
6204	30663
6207	6124
6212	29678
6213	8234
6215	28783
6226	3658
6228	22088
6237	10989
6238	13528
6240	11535
6241	26815
6252	28356
6255	28256
6259	347
6265	26451
6295	18229
6316	4301
6318	29494
6342	343
6344	17756
6367	4556
6369	3415
6376	5484
6379	7821
6403	30065
6405	26040
6406	27775
6408	18395
6409	16732
6410	22162
6413	22975
6414	28890
6425	1242
6427	1413
6432	21373
6436	14917
6438	14409
6458	14370
6460	30598
6462	3668
6463	9941
6464	2536
6467	16964
6481	28461
6491	16368
6497	6176
6505	1998
6508	17082
6512	28359
6515	1372
6524	7271
6527	4788
6536	25395
6538	29103
6538	29104
6540	25364
6570	28521
6571	1382
6573	28739
6580	11093
6585	25395
6587	3604
6588	6958
6605	21863
6610	11635
6613	32249
6628	16367
6642	5922
6649	9628
6655	29569
6656	30869
6671	27760
6684	30739
6691	23965
6699	23480
6703	13352
6709	32565
6737	17158
6738	3246
6742	31713
6755	1185
6762	24815
6764	20398
6768	30679
6772	16217
6775	29856
6780	33008
6788	1174
6790	29073
6793	26889
6812	31545
6821	7118
6845	343
6846	18064
6850	20444
6852	32226
6862	11223
6866	10465
6867	1384
6869	28188
6875	25793
6881	23373
6883	18012
6888	28745
6894	32976
6905	5530
6907	29036
6916	2536
6921	3604
6922	31334
6930	12030
6933	2116
6942	29803
6949	16985
6951	23867
6952	24370
6957	33045
6958	3969
6962	15771
6983	27760
6987	23560
6989	24409
7013	23593
7015	5727
7017	13530
7029	24592
7033	20042
7038	19271
7039	30914
7046	4977
7053	14605
7064	1787
7065	8653
7067	2811
7069	2592
7082	1463
7085	20416
7085	20415
7100	6803
7109	22902
7130	18880
7135	345
7137	1717
7140	9770
7141	9367
7142	26788
7149	15105
