779	23820	50
5082	15954	3
3228	38706	49
5490	21910	50
3282	780	50
1512	11884	50
6324	8994	1
7994	29914	50
6212	2871	1
4485	12505	1
3634	27901	42
9404	5697	44
3524	10283	2
3298	34402	50
9094	20635	37
8195	4490	16
8761	13450	14
5342	25473	48
5812	12089	4
203	13086	49
1154	11282	48
2563	34474	36
5338	33891	27
9577	23999	50
4942	36553	50
1356	34620	50
5272	35829	1
7473	27409	1
6909	24763	1
5144	27902	15
537	33520	43
3994	4827	50
5836	19323	47
5352	7710	46
5488	24552	1
517	24301	50
3463	39545	50
8517	15471	24
4408	31916	33
6378	20247	49
3097	13749	1
3467	38195	42
6394	21849	2
5984	14037	1
2153	15940	1
857	39588	50
67	15585	38
6078	31784	1
5413	6451	1
7408	30235	50
7341	1088	1
2283	38119	1
5184	33429	42
577	26205	3
8916	30283	1
6011	19083	8
3872	6174	2
8242	26219	1
6009	37143	34
9464	393	1
4338	20790	2
5612	13888	47
7726	6451	1
3009	32368	49
8740	32814	32
887	10359	1
7407	25308	49
6736	3446	25
6836	2182	21
7905	4192	5
5808	17362	39
8440	19934	25
9598	20597	23
402	20130	50
3660	1696	28
5153	19396	34
728	33514	4
4931	5000	48
7957	9937	13
4699	25065	50
353	39736	1
6018	28678	5
9289	26893	50
799	30035	2
8980	17748	8
8372	37963	17
2113	38208	49
5418	37897	3
9777	20796	12
4917	30971	1
4841	39605	1
2147	32234	2
3790	29624	2
2247	39545	50
6881	10202	42
6096	39534	47
480	31644	50
352	36898	2
7654	38313	45
6810	22158	31
2386	39525	50
8559	36745	41
8310	1808	50
1826	20941	1
2431	31513	5
2772	24709	50
7205	19644	1
6878	23335	1
5733	33320	1
6809	19627	1
7869	1256	49
3317	13298	48
506	13117	2
6337	13723	1
1471	4598	1
4670	36785	1
5724	38644	3
1624	6	41
9054	25840	25
8748	39119	8
7852	29665	1
5164	3067	38
927	16900	49
9151	19507	5
8422	5407	44
9171	39695	18
8929	10726	46
1200	15354	50
7481	22356	1
5400	10028	2
4101	1692	23
4635	25763	1
4469	25721	4
2921	25851	1
2621	2866	50
9053	11869	34
5440	34233	41
632	14715	9
1649	2068	16
5740	33592	10
937	33936	2
8095	4525	49
7222	28061	1
6138	18893	40
9065	5000	6
7044	36487	12
9231	13785	2
3645	15977	2
4659	21659	1
6602	6962	1
4913	12866	1
572	32194	1
6844	38543	27
3826	5151	49
659	14903	7
5743	10810	42
1912	5651	49
7732	21931	28
4796	19152	50
2267	9720	45
2888	21578	25
2087	35154	1
7748	34032	28
2768	29441	50
5588	13761	13
2399	35082	50
2657	25734	47
8177	3375	1
8436	36817	1
8798	2060	3
8199	39566	50
9514	12062	17
1883	17941	50
7752	24929	39
9493	2081	14
9659	6425	11
8749	19931	1
2363	17290	1
5890	3670	49
7441	19152	49
8221	37948	16
7330	2750	4
4516	33678	4
7304	5865	5
693	32841	50
6907	15684	1
1019	20648	5
4830	23268	3
7452	14439	50
4285	37519	30
5980	29702	3
8949	12367	1
1801	23681	2
553	24578	37
3503	34478	49
3600	20241	44
6063	29851	15
8563	39251	8
7875	38637	5
3776	25081	26
4183	20184	5
7302	29702	17
323	5138	49
9321	9872	49
505	5211	1
58	21546	5
8169	18386	3
7365	25084	50
8552	8901	2
8711	37986	5
25	19575	9
5093	20800	1
1538	6332	17
2533	23305	42
9591	21015	1
8844	12646	47
7433	37803	4
2480	13749	2
8721	29559	1
7226	20016	50
1055	13054	1
4406	36468	50
680	23800	48
4616	31085	16
6337	13840	49
7854	30907	45
8028	2562	11
4724	28423	6
4815	32829	1
2442	27924	8
1820	9600	47
9034	1501	3
9147	30720	1
5557	6425	1
2615	9694	3
3351	27344	18
887	10367	49
778	35626	38
9750	31185	18
1386	38195	42
4389	37048	1
286	38257	50
9411	7955	20
7484	36986	49
8978	16180	4
4061	29915	10
1044	30521	50
7826	22028	49
3157	21280	3
512	32006	42
6356	36152	19
6370	10433	31
8964	1677	2
7930	26910	7
244	34409	41
2617	39732	2
9730	23631	1
1066	35766	6
391	33736	1
5910	34440	1
9349	1578	1
3599	38197	1
3550	19208	1
6493	19169	1
8822	12070	4
4912	34931	4
5811	4161	1
9315	19931	2
3786	16676	1
5972	35160	35
8500	33823	1
5284	36238	49
1736	33684	50
7941	27278	3
49	1464	50
6589	11991	9
6352	3215	1
4606	26867	39
7034	6195	46
3627	39789	16
6782	11692	50
1594	27808	48
6264	39610	8
5409	32804	2
4372	21993	1
7734	27627	2
4386	5715	1
9837	37819	6
5997	38954	2
9824	5270	5
9762	19910	10
9757	33682	1
7087	36953	48
9260	13178	1
7478	4945	18
414	18583	50
4098	36650	46
7622	24724	40
8033	23656	2
9173	21317	35
346	3712	21
9170	9384	7
8805	23427	25
8435	5407	27
1930	15717	42
8300	980	3
8262	14620	22
1142	3898	2
7309	33266	1
4463	9737	15
7900	31057	1
8846	7241	9
8927	3914	9
6739	1375	1
6874	4902	11
4294	37803	8
4271	39600	37
1939	10746	50
6306	34366	2
6426	30787	1
8070	28469	28
5065	33163	1
7749	17499	49
7147	13336	50
7809	25149	46
3716	2879	44
6003	33682	29
980	23476	1
7893	19152	50
4224	33300	49
169	13110	5
7098	4040	10
5909	19012	1
8477	37261	3
6212	2851	23
4869	30203	1
7178	19844	6
7718	16836	10
2435	18442	30
5467	30732	1
4244	17483	1
4721	35384	1
5875	30329	1
8116	1449	50
1669	16091	50
6824	33967	1
973	30923	1
8193	28475	4
4454	20935	1
3381	27772	32
7693	6373	1
2384	27991	33
2000	35477	1
3621	28097	1
8755	2391	1
758	36671	45
5006	25084	49
1236	10161	1
4293	28690	8
7604	382	1
7697	38324	27
2960	38486	8
3683	24092	9
5887	12066	1
6287	39049	1
9516	5928	16
3419	19510	23
7676	1624	24
4474	11125	50
8527	5944	50
2600	20706	47
6205	22761	50
9451	38541	1
8974	9019	1
4417	14867	50
8008	5693	33
1192	39271	47
9064	13820	1
4717	24724	48
7849	36115	1
4986	3283	17
1769	29575	49
1019	20649	1
6344	21741	2
1016	6075	1
145	18443	3
8256	32620	1
317	26946	47
9708	19152	49
2725	36634	50
2659	33690	48
3912	16442	35
350	33709	12
9742	12384	5
2647	30449	1
8856	26341	50
182	8879	50
2553	21049	5
417	21576	26
8042	13024	3
6691	39729	3
1755	38327	5
4941	15959	49
6868	28468	44
9407	13146	49
630	13587	1
5318	15484	23
1996	30333	1
1740	22794	46
4147	29096	49
2035	32188	1
1211	37367	49
3195	20434	50
4352	23591	49
7886	23956	21
881	2257	3
4731	12278	4
1195	5008	49
8715	25610	23
6070	9546	1
5020	8874	48
16	15491	50
4440	18501	37
4066	34179	4
1671	13375	48
4678	37740	1
3691	31801	1
4876	28958	20
7341	1292	1
6010	14747	50
9720	33118	3
4804	34033	1
3739	25465	40
2389	18690	26
8688	22455	1
2716	10056	9
4273	2562	15
8385	21096	1
1598	28954	50
3562	24596	2
9505	18781	1
6181	7190	1
3836	37489	45
5611	6887	2
9482	11141	50
5454	30623	1
5341	32051	2
9636	33709	6
3956	30249	50
6539	18642	1
7500	2857	2
5915	28943	26
8651	7509	1
8222	6376	2
6713	22157	2
7114	15061	1
612	8108	4
6377	23103	1
8232	335	28
6354	2947	29
8558	29605	47
2941	25939	16
8597	38358	49
1137	15394	50
6723	12639	1
8611	5350	43
3442	8213	49
1344	39682	50
3471	20401	1
5363	20904	9
7489	5891	1
7279	19828	1
1919	34373	50
5235	19291	1
9771	34167	9
6345	19152	49
3847	34002	3
3253	27376	2
9182	3279	48
5115	35170	49
1361	37934	50
3768	22794	42
8961	39605	35
5002	14725	1
8264	37047	12
4412	15467	1
9525	20790	5
5497	21048	1
9717	27005	30
4578	4855	48
7256	28344	1
5620	12073	25
4684	19934	46
5017	14978	6
6169	12712	1
6166	19934	20
5965	17130	2
1500	21733	1
1248	28022	1
3741	36764	4
540	14852	50
4151	1618	48
5530	12212	50
6528	20825	21
4119	7816	47
501	10096	12
9746	14834	5
8827	35528	2
7902	9241	1
6338	33678	46
1867	14035	1
3557	28383	48
5319	35200	1
6032	20874	48
9333	19584	29
6912	7704	4
2082	19146	50
7294	28837	7
6389	26817	1
2165	37394	2
1950	15384	2
3325	5766	50
5183	11068	1
78	3903	48
5941	26101	10
5196	17005	2
9086	29570	3
1353	14016	8
8614	24373	31
568	2618	1
5443	15545	9
4751	13512	44
8446	33875	14
2252	19324	2
6123	37740	2
7688	37326	49
5849	2302	7
7747	38265	1
8195	4492	28
2335	20103	25
4330	20080	4
6560	14859	50
5063	16580	48
8	8382	5
676	10393	1
1878	30364	33
4911	8901	1
8626	31681	46
901	36067	1
5145	1618	11
7700	26335	5
4328	39491	50
9306	37769	1
4966	33278	1
1628	13749	1
5587	4665	24
4921	17973	1
615	32257	1
21	9558	48
6673	5003	6
6660	38011	4
4648	19934	1
7286	4937	35
5576	9565	1
7887	16466	1
3447	9601	1
4742	13147	3
5928	4836	15
7685	14468	31
290	15206	1
4041	26724	31
7245	34008	27
7597	28675	48
5573	12082	10
1079	10441	3
6097	8994	1
8391	5829	1
5713	37559	18
8150	13820	1
6836	2203	28
2571	9584	49
3902	30284	6
9726	35009	33
1894	37970	50
5968	29118	44
3472	37827	2
9634	35714	1
3512	29764	50
7233	1618	45
389	32885	1
660	14245	50
2439	38315	50
8993	6899	16
1461	3310	50
5052	28817	2
4072	36684	1
4260	37464	1
1310	20715	17
4315	28968	50
5269	18474	43
6791	4959	26
6538	3415	5
7242	27112	50
2205	7631	50
2215	22487	48
1224	19684	44
1393	18741	1
9248	9907	46
3183	24437	1
1777	39678	3
2512	6775	41
6101	28137	48
3909	14965	50
3650	22418	50
753	3663	43
2232	36542	50
6760	19573	1
5078	20824	1
2387	38342	48
8868	6894	1
1403	6891	50
1417	13683	2
1267	683	50
6165	13560	50
4987	25597	2
2984	36695	39
4192	1618	16
1831	15076	2
4364	36786	6
7047	23984	6
9121	21001	49
9345	12075	1
4164	28894	5
3112	19577	40
6634	19152	50
4173	34988	3
9236	11307	1
9769	20247	48
3094	12051	50
2702	35820	3
4852	26087	1
4715	1620	3
8702	8197	1
1550	28462	49
9029	37427	43
1548	18441	47
9458	1677	2
7738	9915	7
4256	13807	36
7695	37945	14
2429	31390	1
1076	21858	27
6795	24677	49
1532	6358	1
1586	10650	7
2992	31521	50
8886	3593	1
5242	3870	46
4116	20294	45
2664	22033	45
425	20326	1
3310	38327	50
4494	15019	1
8567	16618	30
8141	26817	1
9565	1929	1
1702	13749	1
4182	33476	11
4309	13010	1
2145	31249	43
4938	35417	22
5736	10633	2
4268	14829	49
5415	27039	50
7705	37206	44
6784	38658	1
8009	8410	50
8409	33949	19
3614	367	9
9830	33352	50
2735	28345	4
7233	1677	2
8476	15671	3
818	33867	30
1385	32841	50
4825	39559	49
892	4047	41
2065	19542	50
8467	34254	19
7149	33865	45
3962	39661	1
5791	38364	39
8291	18728	50
4779	2602	28
1376	18741	1
2699	31646	6
7378	29487	17
6513	29152	48
1757	14175	6
5599	39702	45
4373	15368	1
7262	10934	15
